id;user_rating
1110368735;3.5
1051124278;4.5
909480609;4.5
1113223808;4
632598552;3.5
1142223652;5
1120861209;4.5
1077051430;4.5
1036205036;3
347393479;4
981819100;4.5
1126166674;0
431946152;4.5
968666409;4.5
374791544;4
541672969;4.5
1052582820;4
868759616;4
582793399;5
1061572575;4
1042770650;4
1047961826;4.5
1125469780;5
482066631;4.5
961875786;4.5
985077390;5
1125812643;4.5
935697665;3.5
1008692660;4
797639732;3.5
1113736426;4
1036661603;4.5
1137927971;4.5
1124567713;3.5
1083835330;4
1106831630;4.5
1077829105;3.5
1064165938;5
1080248000;5
1095227160;4
1148435076;4.5
799406905;4.5
1085464876;5
1170395210;5
1183260922;5
1048559057;4.5
673673795;4.5
970421850;4.5
1047610405;4
430229059;4.5
1059622588;4.5
881330346;4.5
300265786;3.5
1108623942;4.5
705211891;4.5
473219519;4.5
606800657;4.5
1120181386;4.5
361231506;4
1148613767;2.5
1055204150;4.5
1029499643;4.5
1102448232;5
646504584;3.5
840811083;4.5
973113361;3
1143624165;4
914865605;4
907239855;4.5
1101848745;4
917857630;3.5
959452391;4.5
1117166919;4
636248681;4
636240052;4.5
1108580508;3.5
942435348;4.5
478862935;4.5
366626332;4.5
570180361;5
1035263816;4.5
468429333;4.5
336599882;4.5
685857245;4.5
570182662;5
967812288;4.5
1059911569;5
1142016085;4.5
504270602;2.5
392186427;2.5
663547503;4.5
1097148221;0
1002381557;0
953876014;4.5
1100029269;3.5
1081612551;3
651277515;4.5
1045947023;4
903033050;4
716262008;4.5
1162838832;4.5
994673739;4
1132213599;4
971329287;4.5
920007273;4
640702076;4.5
1164512642;4.5
824281761;4.5
731041554;4.5
659448144;4.5
1132214105;4.5
1168645184;4
871230822;4.5
1065271333;4.5
994674676;3.5
891755554;3.5
1014565551;4
1171015241;4
307132353;4.5
1185209084;0
1046684325;4.5
468090416;4.5
1121782467;4
382497397;4
1068396594;0
1132515131;4.5
660687537;3.5
930563044;4.5
635252156;4.5
660842333;4.5
938099257;2.5
941107732;2.5
1183986102;4.5
944244620;1
1059325444;2.5
586192051;3.5
780214292;1
482380153;3.5
1055714800;3
1087286874;4.5
1079527277;4
1070506962;3
437818260;4.5
1112922482;4.5
411206394;4.5
816177666;4
335047649;4
834854351;4.5
1040093707;4.5
951627022;4.5
978697315;4.5
333710667;4.5
468674094;4
333246187;4
930304174;2
1062145414;0
669287954;3.5
599852923;4.5
411766326;3
1154065290;4
587868848;4.5
847492141;4.5
494302506;4.5
1087074229;2
1087096070;0
284815117;3.5
363306776;3.5
655890150;4
444844790;4.5
1030902626;4
972387337;4.5
998286883;4.5
1034383306;5
1108185975;4
897544254;4.5
582790430;4.5
1050331109;5
376436174;3
599694143;4.5
470578793;4.5
407949800;4
1058965051;3
1069460388;3
1148138918;3.5
409299054;1
528919633;4.5
940292587;4.5
1030487391;4
1014277964;5
1063785850;5
923772792;4.5
1155219609;2.5
393328150;4.5
749969909;3
1097138041;3.5
1039971485;4.5
1046694770;4
858352213;0
650276551;4.5
972657175;5
601137830;3
326161564;3
309187846;3
1122904897;4.5
888683802;4.5
783960953;4.5
1055138354;4
1008719508;4.5
1142228312;4.5
696565994;4.5
1110447884;4
1065976148;4.5
440141669;4
775888026;4.5
932747118;4
879915134;2
283619399;4
